centers 0,centers 1,centers 2,centers 3,score,MILLISEC
832.2810637178329,0.0,987.888635511063,557.0035906526995,1510.3029613216409,38933
1014.4617004674616,0.0,634.803551601936,756.4524282818276,379.4944266866831,38966
619.2501498615662,0.0,1000.3270750788619,1053.477569860913,343.42965727205336,39000
0.0,1018.5345857856047,515.964888842,1073.1260124800465,784.6761008234786,39033
0.0,1080.7554759019943,644.2293983730145,316.1735228804464,2288.9079406240476,39066
1111.2931212935548,0.0,316.8344202258005,811.704761061201,1841.1713275229413,39100
1185.4948606168011,261.78246407141245,0.0,906.4384823103229,9882.64029897929,39133
419.16576181878946,1017.3763398405555,0.0,1185.0231443783182,2470.8306850467743,39166
984.0634592156923,0.0,433.5629294849079,1081.0926923299485,2438.3535723080336,39200
440.53113646967324,1127.104221410514,0.0,987.7346864401629,1754.8214659292169,39233
0.0,1031.582342983554,462.60655660262165,922.9820291924999,2577.0703722067456,39266
1014.3667871118611,0.0,498.7132365886732,318.7245518836178,2311.755002406203,39300
1188.348012999559,0.0,448.69675862717213,1001.717677759239,2900.20669376579,39333
1005.7166822603006,0.0,391.3604996718391,624.2684971463665,1553.5292887808264,39366
413.88270758143426,1007.9448280467702,0.0,637.5486899711477,1334.4230983331024,39400
0.0,1001.4983956220078,456.983434012162,664.2205958866376,2147.866658059725,39433
0.0,932.0074126554887,481.61716684054744,1035.8533157163263,904.7954266792215,39466
0.0,949.1703345314767,505.33654071250265,1034.1637425338345,406.4310225092803,39500
533.6170926804787,950.7012116105536,0.0,1011.795936084818,227.70091897869747,39533
624.6167165063306,0.0,980.9981776626344,512.4774138744583,399.01761682130535,39566
0.0,984.6902983068214,459.99379047677877,632.0827264714285,608.9598174065684,39600
643.4996034396086,0.0,998.5125197440259,395.75605496670164,960.4016553370143,39633
1020.1933263367994,0.0,427.5067636910576,717.0489075385581,2045.6856366324805,39666
760.9728702504775,0.0,1049.8582232810988,391.1739272542849,1743.5190281771495,39700
1397.3421198833162,0.0,587.8798423497049,1049.9918005550098,7752.251396018815,39733
641.8864782400577,0.0,1121.6054342687148,1917.9661102323994,9796.261638056289,39766
0.0,1249.4002097284913,2336.2775948076032,495.3811923126899,6081.669357878763,39800
1271.3363773287595,38.420604591063594,564.1380812630183,1879.395913585001,15102.91629527595,39833
350.73816603053206,1350.6108751055644,0.0,1077.9053321993301,7380.127402773544,39866
0.0,958.9723358693562,412.0040385844539,1424.0509120112245,8752.079332393989,39900
992.5981768380916,0.0,576.0975891094522,1639.3581967750458,5797.454547881503,39933
1009.2006830044216,0.0,2019.7738825774939,674.3767063773392,13368.352203387996,39966
1054.4959035968366,0.0,2472.275470088234,813.6129763525408,2548.650602118602,40000
1021.8204707414668,0.0,814.373683139241,1533.6101199457441,2567.8225037037896,40033
1004.051275542544,0.0,763.266090226878,339.46428383557526,2312.1363263336248,40066
