2, 0.4, 1, 0
2, 0.07, 1, 00
2, 0.27, 1, 00
2, 0.4, 1, 00
2, 0.24, 1, 00
2, 0.22, 0.956522, 0.04347830
2, 0.27, 1, 00
2, 0.11, 1, 00
2, 0.27, 1, 00
2, 0.18, 1, 00
2, 0.27, 1, 00
3, 0.47, 1, 00
3, 0.18, 1, 00
3, 0.31, 1, 00
3, 0.4, 0.909091, 0.09090910
3, 0.44, 1, 00
3, 0.43, 1, 00
3, 0.34, 1, 00
3, 0.21, 0.954545, 0.04545450
3, 0.47, 1, 00
3, 0.38, 1, 00
3, 0.38, 1, 00
4, 0.67, 1, 00
4, 0.25, 1, 00
4, 0.38, 1, 00
4, 0.64, 1, 00
4, 0.54, 0.84375, 0.156250
4, 0.46, 0.978723, 0.02127660
4, 0.43, 0.955556, 0.04444440
4, 0.25, 0.862069, 0.1379310
4, 0.64, 0.955224, 0.04477610
4, 0.57, 0.982759, 0.01724140
4, 0.42, 1, 00
5, 0.87, 1, 00
5, 0.36, 1, 00
5, 0.58, 1, 00
5, 0.84, 1, 00
5, 0.83, 0.988095, 0.01190480
5, 0.32, 0.64, 0.360
5, 0.47, 0.839286, 0.1607140
5, 0.47, 0.959184, 0.04081630
5, 0.87, 1, 00
5, 0.61, 1, 00
5, 0.62, 1, 00
6, 1, 0.934579, 0.06542060
6, 0.4, 1, 00
6, 0.78, 1, 00
6, 0.94, 0.989474, 0.01052630
6, 0.88, 1, 00
6, 0.68, 0.971429, 0.02857140
6, 0.66, 0.985075, 0.01492540
6, 0.67, 0.971014, 0.02898550
6, 0.89, 0.946809, 0.05319150
6, 0.75, 0.925926, 0.07407410
6, 0.71, 0.972603, 0.02739730
7, 1.18, 0.929134, 0.07086610
7, 0.47, 1, 00
7, 0.98, 1, 00
7, 0.98, 0.960784, 0.03921570
7, 0.92, 0.968421, 0.03157890
7, 0.77, 1, 00
7, 0.69, 0.971831, 0.0281690
7, 0.67, 0.917808, 0.08219180
7, 0.94, 0.930693, 0.06930690
7, 1.01, 1, 00
7, 0.74, 0.961039, 0.0389610
8, 1.32, 0.985075, 0.01492540
8, 0.64, 0.955224, 0.04477610
8, 1.11, 0.940678, 0.0593220
8, 1.18, 0.967213, 0.03278690
8, 0.82, 0.836735, 0.1632650
8, 0.95, 0.979381, 0.02061860
8, 0.84, 0.923077, 0.07692310
8, 0.72, 0.9, 0.10
8, 1.21, 1, 00
8, 1.03, 0.980952, 0.01904760
8, 0.81, 0.964286, 0.03571430
