center 0,score,MILLISEC
2397.018864252678,4179421.9644168005,290430
2304.167780894458,2963400.6374879107,290464
2305.2500040831474,3570728.2186746486,290497
2561.9479571068605,4665617.665075985,290530
2264.469072108379,3108501.2214646176,290564
1971.9950008886433,2106088.1164701995,290597
1740.5917025706585,1541947.5249421757,290630
1645.3736124745506,901971.0753724476,290664
1587.7026870873574,465545.7774155846,290697
1544.0484533645254,300643.97366261756,290730
1648.1770325760222,335449.2692888981,290764
1824.834924766178,468409.2973536171,290797
1811.240180861979,416776.0072310659,290830
1650.3124218747012,277941.31020605867,290864
1391.7044338561975,176352.1687850011,290897
1227.8429162548393,61189.573002811594,290930
1146.1290632049017,47723.97047705485,290964
1000.5196300085834,12340.869967487492,290997
891.8267575174481,26224.834575914883,291030
895.9933451876128,28818.325379511305,291064
699.1489131401681,28588.797254921723,291097
581.9734707102946,43297.67938941381,291130
786.8377446923929,187393.16352738882,291164
773.1595017771535,175892.58481170356,291197
687.3620787302149,185390.97272367793,291230
784.56436064079,282073.7640123084,291264
1111.3984141375324,451838.7650525785,291297
1144.5697619309547,463682.8600733172,291330
1161.9912549053706,665057.9235234415,291364
1186.1929613490875,776842.4584458823,291397
1201.2732956143009,791732.4692439565,291430
1296.7745185569827,900575.8480213057,291464
1381.515732746533,1550633.2801738097,291497
1462.3375852989275,1644736.7866221024,291530
1312.6390141965478,990152.2184091154,291564
1010.7553755713518,583583.7707536153,291597
879.8679165987544,461926.04934016766,291630
857.1533086457532,396001.80547763815,291664
690.019847796491,441730.80964690744,291697
620.3376653056276,306865.1810031632,291730
542.33137792099,139278.6765223203,291764
482.3375693191034,74086.26922333917,291797
598.8355937329777,183812.93167847203,291830
713.4028401881444,313585.78761148895,291864
802.394995991092,294270.27040845563,291897
953.5358067612372,428871.8652241966,291930
908.4674705913822,481908.05487729626,291964
865.5733634060449,190614.95256194702,291997
939.1893154654788,162850.42971548517,292030
782.009728821213,119717.58402897308,292064
661.6347976422252,208978.19454893173,292097
683.4916923926471,336568.7064302351,292130
675.8737123674506,346037.3249306406,292164
422.74512523042097,175094.75909391567,292197
399.2388441076673,32077.945355573716,292230
571.285164491818,70982.06083155648,292264
728.0265693375685,80312.91433857058,292297
1096.386173511953,300402.35853181785,292330
1460.2077876107942,981652.01700079,292364
1614.8415556898651,1514981.1500171358,292397
1582.9026900343463,1450423.67388203,292430
1774.3528121634001,1845912.8979678345,292464
1969.0508678535766,2217639.8798050773,292497
1898.2808729294848,1903484.127470073,292530
1789.6047264509593,2158785.5230643875,292564
1808.37070627396,2588989.7886902196,292597
1859.0400363924582,2737479.7430899283,292630
1694.6026013357136,2789437.6235462325,292664
1497.7683327174498,2437690.6215087916,292697
1409.0097660491497,1784974.0791781205,292730
1265.138455731662,1386025.0878289058,292764
1293.1494187684139,1120934.1807389138,292797
1342.0889401691106,1037303.4766757528,292830
1163.3104341175597,961673.2338732143,292864
1070.7613434947723,982328.7452772703,292897
1043.6158654181668,984608.1254474905,292930
1027.5040235616448,902569.2815646312,292964
599.1319504702399,204103.90592572602,292997
607.058167674146,205750.58106010852,293030
397.0928132478251,81739.89766692786,293064
268.0814584686145,39341.93162534053,293097
188.11924687267637,16577.748956057036,293130
167.8944763394248,7334.044814710322,293164
141.94938329166808,4881.972583115103,293197
176.7573409851875,9418.442407846142,293230
185.5408308348198,12447.800093124799,293264
172.31706046091665,6287.430674108793,293297
121.88091175670836,2329.2433493534727,293330
108.74782624978522,2664.510285946525,293364
138.75919579981087,4943.885580989746,293397
145.90182971908993,1782.8560846216853,293430
95.84641208482188,1688.6652904665086,293464
107.24259766623643,1371.4252457977402,293497
78.90319574420107,553.0857013522893,293530
68.08975989811208,748.7845970174476,293564
118.18518536190103,2345.2619609730937,293597
136.0588168841607,2694.198348082428,293630
137.2014295381798,2638.3677326798806,293664
112.20628838244707,2020.348847435126,293697
89.68979100053903,932.1413902796281,293730
62.93127618188614,435.85447811917027,293764
82.21876813783243,319.6741658973511,293797
123.47320295911781,2150.368151016502,293830
126.25958796805568,5819.7164461368075,293864
142.20465503827384,7962.836085445539,293897
185.96437698580797,10831.450492280299,293930
297.16791104414335,34311.23264566009,293964
320.76418076027346,57137.34034119062,293997
500.7456943528001,178426.549587132,294030
773.0037554022963,729047.7941339468,294064
828.9718399059382,801907.4886429638,294097
1059.4761109000356,1113261.770432136,294130
750.6221688124956,362437.35968722525,294164
387.02905886467363,75192.30759432496,294197
734.857910797437,614191.0509384262,294230
1031.5220070756757,1422393.14891857,294264
920.7566956298012,1236609.9074528895,294297
194.0577475550262,11702.190613869727,294330
261.71917777180795,45619.07198644881,294364
117.11052048737936,4244.125991175096,294397
105.0061919151286,3405.4996594831805,294430
153.1496023506233,14173.199299845957,294464
103.12217352640221,3512.8173271905907,294497
117.65812518668649,5127.365577554006,294530
159.3492828667436,19843.406049854537,294564
181.92668562572294,24059.481057239365,294597
112.13289763006688,4957.013269084941,294630
73.38043428202961,1113.711864580732,294664
103.93465886031575,1109.386687589788,294697
133.33327988299223,1385.4364756436603,294730
117.16116210238711,2172.46209481817,294764
168.10397949065515,5616.052079405392,294797
117.43138693998898,5989.669361350584,294830
106.60184145442342,3989.447398525972,294864
86.57461459550034,2516.0361076405798,294897
56.79197630491981,165.4714273814274,294930
53.68612264791724,561.2002350327879,294964
54.229047252140575,628.210434125105,294997
76.26797530180681,926.1959433629861,295030
65.61540727733845,124.21832782900049,295064
56.237632493007325,421.52869158144694,295097
80.27307746187368,635.433034800026,295130
92.39719170409168,369.35896519733245,295164
86.70031138812121,1859.0560052028188,295197
73.70653016301992,721.1474113278358,295230
44.81189885506781,1365.093721003173,295264
70.44502658623817,1241.498229264199,295297
88.4100912083426,454.25577253254016,295330
61.94451035114317,287.0776373571163,295364
74.72173576839327,1304.0622037584167,295397
50.10266321249864,252.32313901493544,295430
49.88082123517749,25.90367290426651,295464
84.04941126109699,667.0964666629827,295497
97.55755627953468,325.9232127654269,295530
103.03077206395301,430.6600079057598,295564
102.41151524895898,1831.8815444122483,295597
98.94338671371827,1104.6062256195978,295630
67.55258242653187,720.0486075066167,295664
46.959794147805574,371.3777335957258,295697
50.16038819508101,462.33545611877787,295730
46.421865174636615,71.81043370785981,295764
54.96406029337402,921.9520760663454,295797
61.29881601332359,225.2551553647048,295830
52.59314804532649,462.9607786823708,295864
57.581545457525145,548.3656227229654,295897
75.74965430264956,476.7898730290867,295930
