center 0,center 1,score,MILLISEC
1047.647905677488,1416.1126154839785,7262.9435445939,290430
1226.5349566294476,896.0167565103083,438.183298047883,290464
981.7555338214302,575.9322876866689,2262.2574487988522,290497
987.8589857739464,531.6117003979502,767.499380535821,290530
562.8792055139362,986.7064610888613,5402.287716396459,290564
985.1355867546758,683.3191055429373,4037.9005676164356,290597
788.598575603584,999.414201308854,1643.0671557106093,290630
941.3928331727277,1102.680824173523,2069.42692081981,290664
976.403460657935,1117.6985282266412,287.6256121665051,290697
1268.2405134673786,977.623178964797,2814.335960611551,290730
1023.6475289718395,1443.9245132623796,4879.789143877621,290764
1264.381039446057,959.1101692330934,6579.2447999236465,290797
1014.3420394281579,1182.8317716395684,847.3816389801999,290830
982.0554046962606,1571.5489174696409,1353.14568549108,290864
972.7296744706125,1418.0331448876645,1309.984323437059,290897
1036.018752702937,1265.559560036587,1131.5152382802721,290930
1125.3750214781073,1028.0154555410666,976.1258873671226,290964
1087.598322005022,819.6859154578661,761.9119774884423,290997
834.0377689289617,1099.6149407080084,1855.9857373787283,291030
1061.8157173910176,1007.1598431129106,239.58317302560272,291064
983.806967548854,1050.055197598302,337.7431601133884,291097
1093.1839049898692,988.9917131480652,286.2147431134179,291130
1020.3903446683087,963.0732059402338,159.0356061523825,291164
1049.014535090103,939.9117861445417,496.10262782433995,291197
944.5300369697201,1253.1778250994114,4025.541028831057,291230
1231.732576983898,964.4186526175821,7039.741008614854,291264
1023.4871849286724,1397.4079576129513,738.5858294253574,291297
1290.068215250651,981.2228973871757,11479.100514492671,291330
987.6810589005961,1177.6170854738818,587.5007111977563,291364
1057.4921402390228,974.8535298913971,495.10648804609264,291397
945.6912444251916,1063.7183085977863,1283.2440593317333,291430
944.8498571405677,1125.4413382338923,1497.166154591376,291464
1011.5794295649399,918.8043044237511,600.6946775970193,291497
809.9320959191579,1032.906981617794,1317.733860174863,291530
1072.0744220005363,754.8966816723995,424.3469537731882,291564
1063.3749966103192,788.1814511900162,2440.693267202782,291597
1034.0241446155364,857.2315906451419,1753.45468168639,291630
1025.4789880605617,905.340819802134,969.2760370290453,291664
911.2110524641673,1003.4881014084185,215.345345894214,291697
1014.8878550147856,845.9660865045987,486.1372397299242,291730
848.8630015532437,1001.1741224535293,1179.867755250438,291764
973.7212619586604,847.8141374075086,757.4177705651297,291797
1077.406982546591,875.9948685643908,710.9124754520951,291830
973.3793951560464,1072.973904622102,2000.242468519416,291864
989.8979995171366,1107.9142566101405,226.36044157693004,291897
1079.8300568428638,976.9095574081636,468.315661076895,291930
1030.32086045052,1164.5385716168366,127.52079894715932,291964
1044.0310347935986,1324.8113073188952,5927.358710246134,291997
1014.6784798892993,1203.0606800988885,1046.865959632915,292030
992.2219841646686,1122.5221601376072,453.42731226251607,292064
1017.6755793173508,1082.4162785176504,6.532208875656979,292097
1065.147361393486,952.1854801102571,1088.9836967762265,292130
1049.5190411430299,894.8469352482798,2277.6543576335152,292164
660.388465486333,1063.5705848732216,4767.796456502533,292197
